RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
62,Dubai,26-30,Male,400–800 Dhs,Retired,Monthly,No significant change in income,Somewhat important,Always,Moderately,"Yes, sometimes",Always,Often,Completely,Always,Neutral,Sometimes,Neutral,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Convenient location and parking.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
63,Dubai,36–40,Male,800 Dhs and above,Marketing / Media,Monthly,A change in employment status,Very important,Never,Very much,Neutral,Sometimes,Rarely,Completely,Often,Extremely important,Often,Extremely important,Never,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,3,Authentic brands and easy returns.,More niche fragrance houses.,Improve stock updates online.
64,Dubai,41-50,Female,400–800 Dhs,Engineering,Every 6 months,A change in employment status,Not important at all,Rarely,Not at all,"Yes, always",Often,Sometimes,Slightly,Always,Somewhat important,Often,Not important at all,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
65,Dubai,Under 21,Female,200-400 Dhs,Banking and Finance,Every 3 months,A sudden increase in income,Extremely important,Always,Completely,"Yes, sometimes",Never,Sometimes,Not at all,Always,Not important at all,Sometimes,Extremely important,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Workshops on layering scents.,Offer student and family bundles.
66,Abu Dhabi,36–40,Prefer not to say,400–800 Dhs,Law,Weekly,A sudden increase in income,Neutral,Often,Completely,"No, not often",Always,Always,Not at all,Always,Neutral,Always,Not important at all,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
67,Dubai,26-30,Female,400–800 Dhs,Self-employed,Every 6 months,A decrease in disposable income,Extremely important,Rarely,Slightly,"No, not often",Sometimes,Often,Moderately,Often,Neutral,Rarely,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Product variety and staff knowledge.,Workshops on layering scents.,Add WhatsApp virtual consultations.
68,Dubai,21-25,Female,200-400 Dhs,Entrepreneur,Yearly,A decrease in disposable income,Somewhat important,Always,Slightly,Neutral,Always,Often,Slightly,Often,Very important,Sometimes,Neutral,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
69,Dubai,31-35,Male,Less than 200 Dhs,Customer Service and Sales,Every 3 months,A change in employment status,Not important at all,Often,Very much,"No, never",Always,Often,Very much,Sometimes,Very important,Sometimes,Somewhat important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Personalized engraving for gifts.,Longer return window for unopened items.
70,Dubai,Under 21,Male,200-400 Dhs,Retired,Every 6 months,A decrease in disposable income,Very important,Sometimes,Moderately,"No, never",Sometimes,Often,Very much,Sometimes,Not important at all,Often,Somewhat important,Rarely,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Product variety and staff knowledge.,Refill options and eco-friendly packaging.,Offer student and family bundles.
71,Umm Al Quwain,21-25,Female,200-400 Dhs,Engineering,Every 3 months,No significant change in income,Not important at all,Always,Moderately,"Yes, always",Often,Often,Completely,Rarely,Extremely important,Sometimes,Not important at all,Always,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
72,Sharjah,21-25,Female,800 Dhs and above,Entrepreneur,Every 3 months,A sudden increase in income,Very important,Often,Completely,"Yes, sometimes",Often,Rarely,Completely,Rarely,Neutral,Often,Very important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Longer return window for unopened items.
73,Abu Dhabi,41-50,Female,800 Dhs and above,Senior & Managerial positions,Monthly,No significant change in income,Extremely important,Never,Very much,"Yes, sometimes",Rarely,Always,Completely,Rarely,Neutral,Always,Somewhat important,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Personalized engraving for gifts.,Longer return window for unopened items.
74,Abu Dhabi,36–40,Male,800 Dhs and above,Engineering,Every 3 months,No significant change in income,Not important at all,Often,Very much,"No, not often",Sometimes,Often,Slightly,Never,Neutral,Sometimes,Neutral,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Longer return window for unopened items.
75,Abu Dhabi,41-50,Female,800 Dhs and above,Law,Monthly,A change in employment status,Extremely important,Often,Moderately,Neutral,Always,Often,Slightly,Sometimes,Not important at all,Often,Very important,Always,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Improve stock updates online.
76,Ras Al-Khaimah,36–40,Female,Less than 200 Dhs,Health,Weekly,A decrease in disposable income,Neutral,Often,Slightly,Neutral,Always,Rarely,Moderately,Sometimes,Extremely important,Often,Not important at all,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
77,Dubai,Under 21,Male,200-400 Dhs,General Employee,Every 3 months,A sudden increase in income,Extremely important,Never,Very much,"Yes, sometimes",Often,Sometimes,Slightly,Always,Very important,Sometimes,Extremely important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Convenient location and parking.,Personalized engraving for gifts.,More samples with purchases.
78,Dubai,Over 50,Male,400–800 Dhs,Customer Service and Sales,Every 3 months,No significant change in income,Very important,Sometimes,Very much,"No, not often",Sometimes,Often,Completely,Often,Not important at all,Never,Somewhat important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,1,Authentic brands and easy returns.,Personalized engraving for gifts.,Longer return window for unopened items.
79,Dubai,21-25,Male,800 Dhs and above,Engineering,In Eids and seasons,A sudden increase in income,Extremely important,Always,Moderately,"No, not often",Always,Always,Not at all,Sometimes,Extremely important,Always,Not important at all,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Add WhatsApp virtual consultations.
80,Dubai,31-35,Female,400–800 Dhs,Entrepreneur,Every 3 months,A sudden increase in income,Extremely important,Always,Very much,Neutral,Sometimes,Sometimes,Very much,Sometimes,Not important at all,Often,Neutral,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Arabic oud blends with lighter sillage.,Improve stock updates online.
81,Dubai,31-35,Male,200-400 Dhs,Banking and Finance,Every 3 months,A decrease in disposable income,Extremely important,Often,Completely,"Yes, always",Always,Never,Moderately,Sometimes,Extremely important,Often,Somewhat important,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,1,Fast checkout and loyalty rewards.,Workshops on layering scents.,Offer student and family bundles.
